date,pm10,so2,no2,o3
4/1/16,nan,1.260,0.260,4.860 
5/1/16,nan,1.600,0.150,4.16 
1/2/16,nan,1.610,0.940,2.820 
2/2/16,nan,1.880,8.750,1.450 
3/2/16,nan,1.610,8.960,4.980 
4/2/16,nan,1.600,8.370,5.480 
1/3/16,nan,1.600,6.700,3.870 
2/3/16,nan,1.610,11.330,2.680 
3/3/16,nan,4.020,5.880,1.100 
4/3/16,nan,1.610,11.670,5.250 
1/4/16,nan,0.001,10.560,0.001 
2/4/16,nan,0.001,10.530,1.71 
3/4/16,nan,nan,nan,1.710 
4/4/16,nan,0.001,12.630,7.550 
1/5/16,nan,0.001,17.790,2.420 
2/5/16,nan,0.001,14.720,1.990 
3/5/16,nan,0.001,12.120,2.000 
4/5/16,nan,0.001,18.960,4.710 
1/6/16,nan,2.420,2.420,2.850 
2/6/16,nan,0.001,10.950,4.700 
3/6/16,nan,1.930,11.210,0.001
4/6/16,nan,0.001,10.820,12.810
1/7/16,nan,0.001,12.820,3.270 
2/7/16,nan,0.001,12.960,3.530 
3/7/16,nan,0.001,14.04,1.82 
4/7/16,nan,0.001,10.490,2.180 
1/8/16,nan,0.001,12.520,1.330 
2/8/16,nan,0.001,10.570,3.900 
3/8/16,nan,0.001,13.790,1.710 
4/8/16,nan,0.001,10.41,1.45 
1/9/16,nan,0.001,0.50,4.60 
2/9/16,nan,0.001,10.70,3.28 
3/9/16,nan,0.001,13.51,2.07 
4/9/16,nan,0.001,10.890,3.16 
1/10/16,nan,0.001,13.600,2.17 
2/10/16,nan,0.001,8.650,1.930 
3/10/16,nan,0.001,10.07,3.64 
4/10/16,nan,0.001,8.250,1.210 
5/10/16,nan,0.001,14.110,1.210 
1/11/16,nan,0.001,11.950,14.020 
2/11/16,nan,0.001,5.76,6.40 
3/11/16,nan,0.001,12.010,5.430 
4/11/16,nan,0.001,12.81,5.69 
1/12/16,nan,1.600,7.35,0.00 
2/12/16,nan,2.000,13.06,2.40 
