date,pm10,so2,no2,o3
3/1/16,nan,1.660,10.030,1.090 
4/1/16,nan,1.650,0.430,5.780 
5/1/16,nan,1.860,0.430,1.27 
1/2/16,nan,1.870,8.360,1.550 
2/2/16,nan,4.690,10.740,2.700 
3/2/16,nan,2.810,16.110,6.090 
4/2/16,nan,2.340,8.870,1.280 
1/3/16,nan,4.220,11.910,1.280 
2/3/16,nan,0.400,35.300,5.530 
3/3/16,nan,3.300,12.120,1.280 
4/3/16,nan,1.890,12.090,1.990 
1/4/16,nan,0.001,20.060,1.290 
2/4/16,nan,0.001,20.060,1.290 
3/4/16,nan,0.001,5.710,0.001 
4/4/16,nan,0.001,6.870,1.570 
1/5/16,nan,0.001,11.450,3.860 
2/5/16,nan,0.001,21.950,2.560 
3/5/16,nan,0.001,23.120,4.270 
4/5/16,nan,2.430,6.430,nan
1/6/16,nan,1.940,19.110,5.390 
2/6/16,nan,0.001,7.380,3.270 
3/6/16,nan,0.001,9.840,0.001 
4/6/16,nan,0.001,8.350,1.700 
5/6/16,nan,0.001,31.970,4.970 
1/7/16,nan,0.001,20.130,2.41 
2/7/16,nan,0.001,21.420,2.960 
3/7/16,nan,0.001,19.08,0.00 
4/7/16,nan,0.001,24.120,0.001 
1/8/16,nan,0.001,19.170,0.001 
2/8/16,nan,0.001,18.540,0.001 
3/8/16,nan,0.001,25.63,4.42 
4/8/16,nan,0.001,1.460,0.001 
5/8/16,nan,0.001,13.16,2.41 
1/9/16,nan,0.001,24.57,2.84 
2/9/16,nan,0.001,18.41,2.61 
3/9/16,nan,0.001,16.07,2.96 
4/9/16,nan,0.001,14.350,2.67
1/10/16,nan,0.001,13.06,2.68 
2/10/16,nan,0.001,15.550,5.230 
3/10/16,nan,0.001,18.90,2.55 
4/10/16,nan,0.001,20.830,0.001 
5/10/16,nan,0.001,17.770,4.940 
1/11/16,nan,0.001,15.800,7.720 
2/11/16,nan,0.001,14.80,17.04 
3/11/16,nan,0.001,9.680,9.690 
4/11/16,nan,1.880,17.49,4.53 
1/12/16,nan,1.870,12.54,0.00 
2/12/16,nan,2.040,21.82,0.00 
