date,so2,no2,pm10,pm2.5
1/1/15,nan,nan,nan,nan
2/1/15,nan,nan,nan,nan
3/1/15,nan,nan,nan,nan
4/1/15,nan,nan,nan,nan
5/1/15,3.596,4.601,nan,nan
6/1/15,5.219,9.67,nan,nan
7/1/15,11.31,13.28,nan,nan
8/1/15,11.74,6.146,nan,nan
9/1/15,15.753,10.062,nan,nan
10/1/15,15.366,6.498,nan,nan
11/1/15,15.965,5.946,nan,nan
12/1/15,17.24,6.356,nan,nan
13/1/15,42.612,15.706,nan,nan
14/1/15,nan,nan,nan,nan
15/1/15,4.452,7.421,nan,nan
16/1/15,8.529,37.825,nan,nan
17/1/15,10.836,18.446,nan,nan
18/1/15,12.086,31.537,nan,nan
19/1/15,12.775,19.313,nan,nan
20/1/15,11.845,16.192,nan,nan
21/1/15,12.031,14.134,nan,nan
22/1/15,11.228,7.406,nan,nan
23/1/15,11.515,13.553,nan,nan
24/1/15,10.969,2.213,nan,nan
25/1/15,10.224,51.582,nan,nan
26/1/15,13.543,16.836,nan,nan
27/1/15,12.479,9.182,nan,nan
28/1/15,11.051,6.922,nan,nan
29/1/15,13.161,9.055,nan,nan
30/1/15,11.184,14.875,nan,nan
31/1/15,10.435,16.664,nan,nan
1/2/15,9.755,14.432,nan,nan
2/2/15,10.616,9.95,nan,nan
3/2/15,11.717,10.2,nan,nan
4/2/15,11.361,4.368,nan,nan
5/2/15,11.616,3.182,nan,nan
6/2/15,12.282,12.78,nan,nan
7/2/15,13.389,12.469,nan,nan
8/2/15,14.371,12.704,nan,nan
9/2/15,14.045,10.121,nan,nan
10/2/15,14.042,8.741,nan,nan
11/2/15,12.463,5.059,nan,nan
12/2/15,12.432,7.793,nan,nan
13/2/15,13.169,8.011,nan,nan
14/2/15,14.014,12.408,nan,nan
15/2/15,12.151,6.798,nan,nan
16/2/15,12.062,6.653,nan,nan
17/2/15,13.439,9.343,nan,nan
18/2/15,13.383,12.368,nan,nan
19/2/15,11.77,5.105,nan,nan
20/2/15,12.022,6.139,nan,nan
21/2/15,12.306,6.606,nan,nan
22/2/15,12.006,5.756,nan,nan
23/2/15,12.588,6.618,nan,nan
24/2/15,13.828,8.916,nan,nan
25/2/15,13.628,9.386,nan,nan
26/2/15,13.229,6.074,nan,nan
27/2/15,13.648,8.459,nan,nan
28/2/15,13.281,6.897,nan,nan
1/3/15,12.955,7.187,nan,nan
2/3/15,13.238,8.025,nan,nan
3/3/15,13.756,13.834,nan,nan
4/3/15,13.173,7.865,nan,nan
5/3/15,13.75,7.502,nan,nan
6/3/15,12.808,9.875,nan,nan
7/3/15,13.628,6.835,nan,nan
8/3/15,12.671,6.251,nan,nan
9/3/15,13.333,6.873,nan,nan
10/3/15,13.552,7.156,nan,nan
11/3/15,14.482,10.291,nan,nan
12/3/15,13.87,8.69,nan,nan
13/3/15,12.802,8.609,nan,nan
14/3/15,13.51,7.19,nan,nan
15/3/15,12.683,6.677,nan,nan
16/3/15,12.982,7.901,nan,nan
17/3/15,13.097,9.67,nan,nan
18/3/15,13.187,7.135,nan,nan
19/3/15,15.506,10.54,nan,nan
20/3/15,13.88,8.163,nan,nan
21/3/15,12.511,7.275,nan,nan
22/3/15,13.275,9.305,nan,nan
23/3/15,14.16,13.721,nan,nan
24/3/15,13.064,4.412,nan,nan
25/3/15,nan,nan,nan,nan
26/3/15,nan,nan,nan,nan
27/3/15,nan,nan,nan,nan
28/3/15,nan,nan,nan,nan
29/3/15,nan,nan,nan,nan
30/3/15,13.064,4.412,nan,nan
31/3/15,3.651,7.782,nan,nan
1/4/15,5.43,4.98,45.647,12.959
2/4/15,nan,nan,nan,nan
3/4/15,nan,nan,nan,nan
4/4/15,nan,nan,nan,nan
5/4/15,nan,nan,nan,nan
6/4/15,nan,nan,nan,nan
7/4/15,5.034,5.047,nan,nan
8/4/15,8.596,10.662,74.95,23.463
9/4/15,9.335,11.043,71.397,29.72
10/4/15,9.326,9.019,58.144,21.602
11/4/15,9.225,8.479,74.366,27.205
12/4/15,9.422,6.171,73.213,24.684
13/4/15,10.822,18.485,34.967,17.693
14/4/15,nan,nan,nan,nan
15/4/15,3.888,14.838,52.325,25.612
16/4/15,9.653,15.556,74.093,29.378
17/4/15,8.063,15.306,50.304,21.207
18/4/15,8.587,16.563,60.362,24.717
19/4/15,11.246,12.503,67.241,26.754
20/4/15,9.292,14.764,65.867,27.493
21/4/15,11.437,20.365,98.138,42.839
22/4/15,9.654,14.239,61.004,28.121
23/4/15,9.469,15.367,77.918,29.474
24/4/15,9.173,16.438,89.701,33.562
25/4/15,9.387,12.756,74.896,34.613
26/4/15,8.997,12.205,63.905,25.409
27/4/15,10.144,10.972,56.701,20.118
28/4/15,9.906,13.55,64.563,30.509
29/4/15,12.998,17.572,85.004,39.98
30/4/15,10.63,11.701,67.777,30.558
1/5/15,10.53,11.185,60.348,31.334
2/5/15,11.02,11.94,54.559,27.533
3/5/15,10.562,12.385,61.578,27.876
4/5/15,12.086,13.272,56.2,24.976
5/5/15,12.208,9.724,57.382,22.783
6/5/15,10.697,8.394,56.38,22.748
7/5/15,13.903,13.137,79.238,35.738
8/5/15,10.566,9.151,53.751,28.523
9/5/15,9.8,7.659,47.265,23.402
10/5/15,10.818,8.69,57.592,29.295
11/5/15,12.189,12.284,65.046,32.481
12/5/15,10.322,12.504,87.386,48.915
13/5/15,11.616,10.527,67.42,21.78
14/5/15,12.251,11.679,88.665,26.653
15/5/15,11.547,12.094,75.506,26.468
16/5/15,10.918,9.977,54.294,21.528
17/5/15,10.846,8.304,46.652,24.706
18/5/15,10.641,9.182,57.119,26.33
19/5/15,11.858,17.297,82.143,42.254
20/5/15,10.881,11.624,61.216,30.383
21/5/15,10.35,8.795,71.074,47.198
22/5/15,11.012,9.208,74.385,40.237
23/5/15,10.687,11.157,77.272,36.632
24/5/15,10.621,8.677,60.914,27.05
25/5/15,10.101,6.526,44.904,20.602
26/5/15,10.401,8.574,53.975,26.268
27/5/15,10.851,10.122,49.125,23.879
28/5/15,10.543,12.826,71.737,34.247
29/5/15,11.144,14.512,77.421,37.456
30/5/15,10.173,13.554,68.375,29.731
31/5/15,8.922,12.831,61.327,26.783
1/6/15,10.172,17.153,92.852,48.169
2/6/15,10.476,15.637,76.9,34.411
3/6/15,9.754,12.201,71.435,29.745
4/6/15,nan,nan,nan,nan
5/6/15,nan,nan,nan,nan
6/6/15,nan,nan,nan,nan
7/6/15,nan,nan,nan,nan
8/6/15,nan,nan,nan,nan
9/6/15,7.731,2.27,74.315,49.608
10/6/15,nan,nan,70.157,33.883
11/6/15,nan,nan,59.467,24.318
12/6/15,nan,nan,72.207,31.814
13/6/15,nan,nan,77.327,37.786
