,date,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y
0,4/1/15,34.6,1.2,7.4,1.9,,,,,,2.1,7.9,12.7,,,,
1,5/1/15,26.3,1.2,4.8,4.3,37.2,1.2,10.8,5.2,,1.8,5.7,1.6,,1.4,16.2,2.5
2,1/2/15,32.2,0.001,7.2,6.9,55.0,0.001,15.1,5.2,,0.001,4.1,4.3,,16.2,10.3,3.8
3,2/2/15,49.6,0.2,9.2,7.9,55.3,0.5,11.7,7.1,,5.7,8.1,8.1,,4.3,18.1,2.8
4,3/2/15,36.8,0.001,6.2,10.1,47.4,0.001,12.6,5.3,,1.3,4.9,7.9,,0.9,18.7,15.3
5,4/2/15,21.8,0.001,6.4,13.4,42.3,0.001,14.3,2.4,,0.5,5.5,4.9,,1.1,15.5,2.9
6,1/3/15,69.0,0.001,10.3,6.9,38.5,0.001,15.1,7.4,,1.2,5.8,8.2,,0.9,14.5,4.4
7,2/3/15,56.1,0.001,9.4,10.4,60.5,0.001,18.3,3.0,,0.9,6.5,12.6,,0.9,15.4,7.4
8,3/3/15,40.5,0.001,7.1,10.2,74.1,0.001,12.6,8.2,,0.2,5.5,11.6,,0.7,15.7,5.8
9,4/3/15,41.1,0.001,2.8,9.0,82.2,0.001,3.2,6.5,,0.9,6.9,6.3,,0.4,15.0,3.4
10,5/3/15,,,,,30.3,0.001,11.1,2.0,,,,,21.7,0.001,12.0,1.5
11,1/4/15,30.5,0.001,6.1,3.7,36.0,0.001,15.1,10.0,21.0,0.001,4.2,8.7,61.7,1.4,16.6,6.0
12,2/4/15,35.3,0.6,8.9,13.7,35.2,0.001,16.8,15.6,31.2,0.001,7.2,15.3,68.9,0.001,15.1,11.2
13,3/4/15,39.2,0.001,10.0,9.7,53.3,0.001,15.2,8.7,25.5,0.001,6.3,9.3,65.2,0.001,17.8,5.6
14,4/4/15,,0.001,9.9,6.7,30.9,0.001,18.6,6.8,26.0,0.001,9.3,11.2,43.1,0.001,9.9,5.6
15,1/5/15,29.9,0.001,10.3,5.2,32.2,0.001,19.1,10.0,34.7,0.001,10.3,9.1,80.0,0.2,14.5,2.1
